,0
0,31669.5
1,9998
2,141483
3,63489
4,184200
5,190920.5
6,78825
7,29165
8,13234
9,277637.5
10,89536
11,7995
12,95359
13,124544
14,19170
15,23002
16,137541
17,38742.5
18,49117
19,47528.5
20,358126.5
21,75610
22,67737
23,28958.5
24,8297
25,41016
26,14765
27,101804
28,16368.5
29,91750.5
30,36490
31,72219.5
32,202283.5
33,52805.5
34,26231.5
35,4072
36,84693
37,42613.5
38,66628.5
39,23925
40,62360.5
41,221520
42,131003.5
43,5832
44,122305
45,258457
46,171355.5
47,40110
48,41169.5
49,101719.5
50,16743.5
51,122823
52,25880
53,78207.5
54,39216.5
55,17471
56,355560.5
57,45050
58,134276
59,62943
60,97056
61,28064
62,10899.5
63,11313.5
64,22175.5
65,62378
66,243531.5
67,53909.5
68,18102.5
69,51569.5
70,106694.5
71,16642
72,18940.5
73,228295
74,84807.5
75,49771
76,47400
77,52599.5
78,24894.5
79,8737.5
80,14263.5
81,21954
82,25766
83,22498
84,49135
85,70091
86,61223.5
87,76511
88,23191.5
89,58752.5
90,21900.5
91,34976.5
92,188230
93,28106.5
94,348922
95,183160
96,29543.5
97,212335
98,93083.5
99,45580
